	ratio	nifH type	env type	Organism
SRR11032393	0.0	PB	marine	seawater metagenome
SRR11032396	0.0	PB	marine	seawater metagenome
SRR11032398	0.0	PB	marine	seawater metagenome
SRR11032399	0.0	PB	marine	seawater metagenome
SRR11032407	0.0	PB	marine	seawater metagenome
SRR11032408	0.0	PB	marine	seawater metagenome
SRR11032410	0.0	PB	marine	seawater metagenome
SRR11032413	0.0	PB	marine	seawater metagenome
SRR9225727	0.0	PB	soil	soil metagenome
SRR9225728	0.0	PB	soil	soil metagenome
SRR9225730	0.0	PB	soil	soil metagenome
SRR9225735	0.0	PB	soil	soil metagenome
SRR6854297	0.0	PB	soil	soil metagenome
SRR6854298	0.0	PB	soil	soil metagenome
SRR6854300	0.0	PB	soil	soil metagenome
SRR6854301	0.0	PB	soil	soil metagenome
SRR6854305	100.0	PB	soil	soil metagenome
SRR6854308	28.8135593220339	PB	soil	soil metagenome
SRR6854309	100.0	PB	soil	soil metagenome
SRR6854310	100.0	PB	soil	soil metagenome
SRR6854315	100.0	PB	soil	soil metagenome
SRR6854316	0.0	PB	soil	soil metagenome
SRR6854325	0.0	PB	soil	soil metagenome
SRR6854329	100.0	PB	soil	soil metagenome
SRR6854330	0.0	PB	soil	soil metagenome
SRR6854332	0.0	PB	soil	soil metagenome
SRR6854338	0.0	PB	soil	soil metagenome
SRR6854340	100.0	PB	soil	soil metagenome
SRR6854342	100.0	PB	soil	soil metagenome
SRR6854343	12.500000000000004	PB	soil	soil metagenome
SRR6854344	13.45029239766082	PB	soil	soil metagenome
SRR6854358	100.0	PB	soil	soil metagenome
SRR6854375	0.0	PB	soil	soil metagenome
SRR6854376	0.0	PB	soil	soil metagenome
SRR6854378	0.0	PB	soil	soil metagenome
SRR6854380	100.0	PB	soil	soil metagenome
SRR6854386	0.0	PB	soil	soil metagenome
SRR6854387	0.0	PB	soil	soil metagenome
SRR6854395	0.0	PB	soil	soil metagenome
SRR6854398	0.0	PB	soil	soil metagenome
SRR6854399	0.0	PB	soil	soil metagenome
